"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 10 16:34:57 GMT 2023","Fri Mar 10 16:34:57 GMT 2023","600","tests","test_text_box","TestTextBox","","","test_text_box[chromium]","
        Test to verify the input fields and output form on the page
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Mar 10 16:34:52 GMT 2023","Fri Mar 10 16:34:53 GMT 2023","959","tests","test_dropdown_menu","TestDropdownMenu","","","test_select_menu[chromium]","
        Test to verify all dropdown menus on the page
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Mar 10 16:34:50 GMT 2023","Fri Mar 10 16:34:51 GMT 2023","631","tests","test_check_boxes","TestCheckBox","","","test_text_boxes[chromium]","
        Test to verify the checkboxes on the page
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Mar 10 16:34:48 GMT 2023","Fri Mar 10 16:34:48 GMT 2023","156","tests","test_buttons","TestButtons","","","test_the_click_button","
        Test to verify the functionality of the dynamic button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Mar 10 16:34:55 GMT 2023","Fri Mar 10 16:34:55 GMT 2023","445","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]","
        Test to verify the radio buttons on the page
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Mar 10 16:34:45 GMT 2023","Fri Mar 10 16:34:45 GMT 2023","207","tests","test_buttons","TestButtons","","","test_right_click_button","
        Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Mar 10 16:34:42 GMT 2023","Fri Mar 10 16:34:43 GMT 2023","686","tests","test_buttons","TestButtons","","","test_double_click_button","
        Test to verify the functionality of the double click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
